team,week,year,pass_completion_percentage_allowed,defensive_sack_rate,interception_rate,defensive_passer_rating,opponents_passing_play_success_rate,pass_completion_percentage_allowed_relative_rank,defensive_sack_rate_relative_rank,interception_rate_relative_rank,defensive_passer_rating_relative_rank,opponents_passing_play_success_rate_relative_rank,pass_completion_percentage_allowed_competitive_rank,defensive_sack_rate_competitive_rank,interception_rate_competitive_rank,defensive_passer_rating_competitive_rank,opponents_passing_play_success_rate_competitive_rank,relative_score,competitive_score,defense_total_score,defense_total_rank
Charlotte,1,2022,0.6521739130434783,0.02127659574468085,0.0,393.5688405797102,1.1956521739130435,4.0,10.0,11.0,10.0,5.0,85.0,107.0,140.0,39.0,10.0,74.68491253817709,72.99693886352415,59.870141701473045,272.0
Charlotte,1,2022,0.6521739130434783,0.02127659574468085,0.0,393.5688405797102,1.1956521739130435,4.0,10.0,11.0,10.0,5.0,85.0,107.0,140.0,39.0,10.0,74.68491253817709,72.99693886352415,59.870141701473045,272.0
Cincinnati,1,2022,0.6923076923076923,0.07142857142857142,0.0,420.35256410256403,1.1153846153846154,11.0,5.0,11.0,1.0,4.0,112.0,47.0,140.0,17.0,17.0,72.10976868435432,74.200409416825,62.3644161040597,170.0
Clemson,1,2022,0.6571428571428571,0.05405405405405406,0.0,357.61904761904754,0.7428571428571429,8.0,9.0,13.0,6.0,7.0,89.0,60.0,140.0,71.0,82.0,71.8059844243799,71.13283395073188,53.9318425156946,639.0
Coastal Carolina,1,2022,0.5,0.1111111111111111,0.0,407.2916666666667,1.25,1.0,3.0,11.0,6.0,1.0,17.0,15.0,140.0,24.0,5.0,85.84876080229185,78.05689835496364,77.00101462203918,15.0
Colorado,1,2022,0.6521739130434783,0.0,0.0,351.0869565217392,0.782608695652174,6.0,11.0,11.0,10.0,9.0,85.0,140.0,140.0,76.0,70.0,68.85796289069705,69.62782344826591,48.94905386065119,1098.0
Colorado State,1,2022,0.6428571428571429,0.034482758620689655,0.0,363.98809523809535,0.9642857142857143,7.0,8.0,12.0,7.0,6.0,80.0,79.0,140.0,67.0,33.0,69.28701951842686,71.84870313658053,55.1172918812118,543.0
Connecticut,1,2022,0.5862068965517241,0.06451612903225806,0.0,340.5172413793103,0.9137931034482759,5.0,5.0,11.0,7.0,6.0,52.0,51.0,140.0,91.0,41.0,73.56190445920859,72.71517363734384,58.76474106006529,322.0
Connecticut,1,2022,0.5862068965517241,0.06451612903225806,0.0,340.5172413793103,0.9137931034482759,5.0,5.0,11.0,7.0,6.0,52.0,51.0,140.0,91.0,41.0,73.56190445920859,72.71517363734384,58.76474106006529,322.0
Duke,1,2022,0.4827586206896552,0.03333333333333333,0.0,259.9137931034483,0.5172413793103449,2.0,8.0,11.0,10.0,11.0,15.0,81.0,140.0,127.0,135.0,69.0292760362744,69.58933127489924,48.89614887401095,1107.0
East Carolina,1,2022,0.53125,0.0,0.0,303.515625,0.78125,2.0,10.0,10.0,9.0,5.0,29.0,140.0,140.0,111.0,71.0,70.8839488841417,70.10090517687938,50.84744930936617,905.0
Eastern Michigan,1,2022,0.7,0.0196078431372549,0.0,399.25,0.72,9.0,8.0,10.0,4.0,8.0,114.0,109.0,140.0,30.0,94.0,70.59509820981859,70.35739026515657,51.457571556453274,845.0
Florida,1,2022,0.7096774193548387,0.0,0.0,394.758064516129,1.096774193548387,9.0,12.0,12.0,5.0,4.0,121.0,140.0,140.0,37.0,21.0,72.14085582236022,71.24524073534114,54.33864779372283,601.0
